"Type","Slug","Status","URL"
"Course","steel-fabrication","404","https://riseafricaskills.com/steel-fabrication-course.html"
"Course","aluminum-windows-doors","404","https://riseafricaskills.com/aluminum-windows-doors-course.html"
"Course","glass-processing","404","https://riseafricaskills.com/glass-processing-course.html"
"Course","furniture-manufacturing","404","https://riseafricaskills.com/furniture-manufacturing-course.html"
"Course","solar-panel-assembly","404","https://riseafricaskills.com/solar-panel-assembly-course.html"
"Course","solar-inverters-batteries","404","https://riseafricaskills.com/solar-inverters-batteries-course.html"
"Course","briquettes-pellets","404","https://riseafricaskills.com/briquettes-pellets-course.html"
"Course","biogas-systems","404","https://riseafricaskills.com/biogas-systems-course.html"
"Course","auto-parts-assembly","404","https://riseafricaskills.com/auto-parts-assembly-course.html"
"Course","ev-motorbike-assembly","404","https://riseafricaskills.com/ev-motorbike-assembly-course.html"
"Course","electronics-assembly","404","https://riseafricaskills.com/electronics-assembly-course.html"
"Course","packaging-materials","404","https://riseafricaskills.com/packaging-materials-course.html"
"Course","detergents-manufacturing","404","https://riseafricaskills.com/detergents-manufacturing-course.html"
"Course","pharmaceuticals","404","https://riseafricaskills.com/pharmaceuticals-course.html"
"Course","sanitary-pads","404","https://riseafricaskills.com/sanitary-pads-course.html"
"Course","tissues-paper-products","404","https://riseafricaskills.com/tissues-paper-products-course.html"
"Course","fertilizer-blending","404","https://riseafricaskills.com/fertilizer-blending-course.html"
"Course","pesticides-agrochemicals","404","https://riseafricaskills.com/pesticides-agrochemicals-course.html"
