"Type","Slug","Status","URL"
"Module","drone-technology-mod-12","404","https://riseafricaskills.com/drone-technology-module-12.html"
"Module","supply-chain-course-mod-1","404","https://riseafricaskills.com/supply-chain-course-module-1.html"
"Module","supply-chain-course-mod-12","404","https://riseafricaskills.com/supply-chain-course-module-12.html"
"Module","avocado-farming-mod-1","404","https://riseafricaskills.com/avocado-farming-module-1.html"
"Module","avocado-farming-mod-12","404","https://riseafricaskills.com/avocado-farming-module-12.html"
"Module","banana-farming-mod-1","404","https://riseafricaskills.com/banana-farming-module-1.html"
"Module","banana-farming-mod-12","404","https://riseafricaskills.com/banana-farming-module-12.html"
"Module","crocodile-farming-mod-12","404","https://riseafricaskills.com/crocodile-farming-module-12.html"
"Module","duck-farming-mod-12","404","https://riseafricaskills.com/duck-farming-module-12.html"
"Module","guinea-quail-farming-mod-1","404","https://riseafricaskills.com/guinea-quail-farming-module-1.html"
"Module","guinea-quail-farming-mod-12","404","https://riseafricaskills.com/guinea-quail-farming-module-12.html"
"Module","grafting-budding-orchards-mod-12","404","https://riseafricaskills.com/grafting-budding-orchards-module-12.html"
"Module","grasscutter-farming-mod-12","404","https://riseafricaskills.com/grasscutter-farming-module-12.html"
"Module","citrus-farming-mod-1","404","https://riseafricaskills.com/citrus-farming-module-1.html"
"Module","citrus-farming-mod-12","404","https://riseafricaskills.com/citrus-farming-module-12.html"
"Module","tropical-fruit-farming-mod-1","404","https://riseafricaskills.com/tropical-fruit-farming-module-1.html"
"Module","tropical-fruit-farming-mod-12","404","https://riseafricaskills.com/tropical-fruit-farming-module-12.html"
"Module","ostrich-farming-mod-12","404","https://riseafricaskills.com/ostrich-farming-module-12.html"
"Module","sorghum-millet-farming-mod-1","404","https://riseafricaskills.com/sorghum-millet-farming-module-1.html"
"Module","sorghum-millet-farming-mod-12","404","https://riseafricaskills.com/sorghum-millet-farming-module-12.html"
"Module","soybean-farming-mod-1","404","https://riseafricaskills.com/soybean-farming-module-1.html"
"Module","soybean-farming-mod-12","404","https://riseafricaskills.com/soybean-farming-module-12.html"
"Module","sunflower-farming-mod-1","404","https://riseafricaskills.com/sunflower-farming-module-1.html"
"Module","sunflower-farming-mod-12","404","https://riseafricaskills.com/sunflower-farming-module-12.html"
"Module","silaje-hay-making-mod-1","404","https://riseafricaskills.com/silaje-hay-making-module-1.html"
"Module","silaje-hay-making-mod-12","404","https://riseafricaskills.com/silaje-hay-making-module-12.html"
"Module","sweet-potato-farming-mod-1","404","https://riseafricaskills.com/sweet-potato-farming-module-1.html"
"Module","sweet-potato-farming-mod-12","404","https://riseafricaskills.com/sweet-potato-farming-module-12.html"
"Module","turkey-farming-mod-12","404","https://riseafricaskills.com/turkey-farming-module-12.html"
"Module","yam-farming-mod-1","404","https://riseafricaskills.com/yam-farming-module-1.html"
