"Slug","File","Free","Length","Issues"
"tomato-farming","tomato-farming-course","False","49701","NO-VIDEO"
"tomato-farming","tomato-farming-module-1","False","5896","NO-VIDEO"
"tomato-farming","tomato-farming-module-2","False","5503","NO-VIDEO"
"tomato-farming","tomato-farming-module-3","False","6131","NO-VIDEO"
"tomato-farming","tomato-farming-module-4","False","6001","NO-VIDEO"
"tomato-farming","tomato-farming-module-5","False","6343","NO-VIDEO"
"tomato-paste-sauce","tomato-paste-sauce-course","False","13355","NO-VIDEO"
"turkey-farming","turkey-farming-module-6","False","6477","NO-VIDEO"
"avocado-farming","avocado-farming-module-6","False","8075","NO-VIDEO"
"spice-blending-packaging","spice-blending-packaging-course","False","3","TINY(3) + NO-VIDEO"
"spices-course","spices-course-course","False","3","TINY(3) + NO-VIDEO"
"steel-fabrication","steel-fabrication-course","False","3","TINY(3) + NO-VIDEO"
"steer-fattening","steer-fattening-module-9","False","50248","PLACEHOLDER"
"african-black-soap-skincare","african-black-soap-skincare-course","False","3","TINY(3) + NO-VIDEO"
"banana-farming","banana-farming-module-6","False","9211","NO-VIDEO"
"beehive-building-wood","beehive-building-wood-module-9","False","18522","NO-VIDEO"
"brick-making-business-banking","brick-making-business-banking-module-7","False","14909","NO-VIDEO"
"broiler-farming","broiler-farming-module-6","False","9669","NO-VIDEO"
"charcoal-types","charcoal-types-course-lessons","False","3634","NO-VIDEO"
"citrus-farming","citrus-farming-module-6","False","10452","NO-VIDEO"
"cold-room-10-beasts","cold-room-10-beasts-module-9","False","19578","NO-VIDEO"
"grafting-budding-orchards","grafting-budding-orchards-module-6","False","6620","NO-VIDEO"
"how-to-start-a-business","how-to-start-a-business-module-7","False","16867","NO-VIDEO"
"kids-ai-junior","kids-ai-junior-module-8","False","11234","NO-VIDEO"
"kids-ai-senior","kids-ai-senior-module-8","False","11893","NO-VIDEO"
"kids-arabic-junior","kids-arabic-junior-module-8","False","11357","NO-VIDEO"
"kids-arabic-senior","kids-arabic-senior-module-8","False","11635","NO-VIDEO"
"kids-chinese-junior","kids-chinese-junior-module-8","False","11471","NO-VIDEO"
"kids-chinese-senior","kids-chinese-senior-module-8","False","11683","NO-VIDEO"
"kids-claude-junior","kids-claude-junior-module-8","False","10907","NO-VIDEO"
"kids-claude-senior","kids-claude-senior-module-8","False","11426","NO-VIDEO"
"potato-farming","potato-farming-module-6","False","8341","NO-VIDEO"
"soft-drinks-production","soft-drinks-production-course","False","3","TINY(3) + NO-VIDEO"
"solar-installation","solar-installation-course","False","3","TINY(3) + NO-VIDEO"
"solar-inverters-batteries","solar-inverters-batteries-course","False","3","TINY(3) + NO-VIDEO"
"solar-panel-assembly","solar-panel-assembly-course","False","3","TINY(3) + NO-VIDEO"
"solar-pump-dam","solar-pump-dam-course","False","3","TINY(3) + NO-VIDEO"
"street-food","street-food-course","False","3","TINY(3) + NO-VIDEO"
"sugar-processing","sugar-processing-course","False","3","TINY(3) + NO-VIDEO"
"tomato-farming","tomato-farming-module-6","False","6511","NO-VIDEO"
"transport-logistics","transport-logistics-course","False","8655","NO-VIDEO"
"agricultural-cooperative-formation","agricultural-cooperative-formation-course","False","13648","NO-VIDEO"
"agricultural-produce-sourcing","agricultural-produce-sourcing-course","False","9409","NO-VIDEO"
"agricultural-record-keeping","agricultural-record-keeping-course","False","13506","NO-VIDEO"
"ai-course","ai-course-course","False","3","TINY(3) + NO-VIDEO"
"kids-drones-senior","kids-drones-senior-module-8","False","12015","NO-VIDEO"
"kids-robotics-junior","kids-robotics-junior-module-8","False","11019","NO-VIDEO"
"kids-robotics-senior","kids-robotics-senior-module-8","False","11729","NO-VIDEO"
"kids-russian-junior","kids-russian-junior-module-8","False","11508","NO-VIDEO"
"kids-russian-senior","kids-russian-senior-module-8","False","11682","NO-VIDEO"
"layer-farming","layer-farming-module-6","False","11245","NO-VIDEO"
"maize-farming","maize-farming-module-6","False","7038","NO-VIDEO"
"maximise-1-hectare-vegetables","maximise-1-hectare-vegetables-module-7","False","27457","NO-VIDEO"
"mushroom-house-brick","mushroom-house-brick-module-9","False","18977","NO-VIDEO"
"mushroom-seed-production","mushroom-seed-production-module-7","False","17198","NO-VIDEO"
"onion-farming","onion-farming-module-6","False","7725","NO-VIDEO"
"preservation-buildings-10-methods","preservation-buildings-10-methods-module-9","False","19777","NO-VIDEO"
"seedling-nursery-farmers","seedling-nursery-farmers-module-7","False","16358","NO-VIDEO"
"silkworm-farming","silkworm-farming-module-6","False","6503","NO-VIDEO"
"snail-farming","snail-farming-module-7","False","15168","NO-VIDEO"
"russian-language","russian-language-module-6","True","19457","FARMING CONTENT"
"ai-fundamentals","ai-fundamentals-course","False","16010","NO-VIDEO"
"aluminum-windows-doors","aluminum-windows-doors-course","False","3","TINY(3) + NO-VIDEO"
"animal-feed-making","animal-feed-making-course","False","79672","NO-VIDEO"
"auto-parts-assembly","auto-parts-assembly-course","False","3","TINY(3) + NO-VIDEO"
"avocado-farming","avocado-farming-module-1","False","6914","NO-VIDEO"
"avocado-farming","avocado-farming-module-2","False","7742","NO-VIDEO"
"avocado-farming","avocado-farming-module-3","False","8092","NO-VIDEO"
"avocado-farming","avocado-farming-module-4","False","7241","NO-VIDEO"
"avocado-farming","avocado-farming-module-5","False","8047","NO-VIDEO"
"bakery","bakery-course","False","15932","NO-VIDEO"
"bakery","bakery-lessons","False","23646","NO-VIDEO"
"banana-farming","banana-farming-module-1","False","6985","NO-VIDEO"
"banana-farming","banana-farming-module-2","False","8313","NO-VIDEO"
"banana-farming","banana-farming-module-3","False","7936","NO-VIDEO"
"banana-farming","banana-farming-module-4","False","8549","NO-VIDEO"
"banana-farming","banana-farming-module-5","False","9038","NO-VIDEO"
"barbering-grooming","barbering-grooming-course","False","9441","NO-VIDEO"
"basic-first-aid","basic-first-aid-course","False","8897","NO-VIDEO"
"bee-farming","bee-farming-course","False","16899","NO-VIDEO"
"bee-farming","bee-farming-lessons","False","24425","NO-VIDEO"
"beef-farming","beef-farming-course","False","47658","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-course","False","5276","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-1","False","16676","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-10","False","13253","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-11","False","14376","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-12","False","20071","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-2","False","18827","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-3","False","19463","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-4","False","19599","NO-VIDEO"
"beehive-building-brick","beehive-building-brick-module-5","False","17850","NO-VIDEO"
