"Slug","File","Free","Length","Issues"
"citrus-farming","citrus-farming-module-3","False","8485","NO-VIDEO"
"citrus-farming","citrus-farming-module-4","False","8677","NO-VIDEO"
"citrus-farming","citrus-farming-module-5","False","9504","NO-VIDEO"
"crocodile-farming","crocodile-farming-course","False","8777","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-1","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-2","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-3","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-4","False","6518","NO-VIDEO"
"crocodile-farming","crocodile-farming-module-5","False","6518","NO-VIDEO"
"dairy-production","dairy-production-course","False","17056","NO-VIDEO"
"dairy-production","dairy-production-lessons","False","24651","NO-VIDEO"
"duck-farming","duck-farming-course","False","8802","NO-VIDEO"
"duck-farming","duck-farming-module-1","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-2","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-3","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-4","False","6451","NO-VIDEO"
"duck-farming","duck-farming-module-5","False","6451","NO-VIDEO"
"entrepreneurship","entrepreneurship-course","False","14564","NO-VIDEO"
"farm-labor-management","farm-labor-management-course","False","13373","NO-VIDEO"
"fish-fingerling-production","fish-fingerling-production-course","False","13482","NO-VIDEO"
"fruit-juice-making","fruit-juice-making-course","False","3","TINY(3) + NO-VIDEO"
"furniture-manufacturing","furniture-manufacturing-course","False","3","TINY(3) + NO-VIDEO"
"goat-farming","goat-farming-course","False","3","TINY(3) + NO-VIDEO"
"grasscutter-farming","grasscutter-farming-course","False","8837","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-1","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-2","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-3","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-4","False","6542","NO-VIDEO"
"grasscutter-farming","grasscutter-farming-module-5","False","6542","NO-VIDEO"
"horse-breeding","horse-breeding-course","False","3","TINY(3) + NO-VIDEO"
"international-trade-basics","international-trade-basics-course","False","13494","NO-VIDEO"
"jam-making","jam-making-course","False","3","TINY(3) + NO-VIDEO"
"layer-farming","layer-farming-course","False","7449","NO-VIDEO"
"layer-farming","layer-farming-module-1","False","8907","NO-VIDEO"
"layer-farming","layer-farming-module-2","False","8758","NO-VIDEO"
"layer-farming","layer-farming-module-3","False","9001","NO-VIDEO"
"layer-farming","layer-farming-module-4","False","10026","NO-VIDEO"
"layer-farming","layer-farming-module-5","False","9701","NO-VIDEO"
"mushroom-farming","mushroom-farming-course","False","16802","NO-VIDEO"
"mushroom-farming","mushroom-farming-lessons","False","24827","NO-VIDEO"
"mushroom-farming","mushroom-farming-module-12","False","86564","PLACEHOLDER"
"onion-farming","onion-farming-course","False","48509","NO-VIDEO"
"onion-farming","onion-farming-module-1","False","6811","NO-VIDEO"
"onion-farming","onion-farming-module-2","False","6658","NO-VIDEO"
"onion-farming","onion-farming-module-3","False","7103","NO-VIDEO"
"onion-farming","onion-farming-module-4","False","6639","NO-VIDEO"
"onion-farming","onion-farming-module-5","False","7552","NO-VIDEO"
"ostrich-farming","ostrich-farming-course","False","8917","NO-VIDEO"
"ostrich-farming","ostrich-farming-module-1","False","6490","NO-VIDEO"
"ostrich-farming","ostrich-farming-module-2","False","6490","NO-VIDEO"
"ostrich-farming","ostrich-farming-module-3","False","6490","NO-VIDEO"
"ostrich-farming","ostrich-farming-module-4","False","6490","NO-VIDEO"
"ostrich-farming","ostrich-farming-module-5","False","6490","NO-VIDEO"
"pharmaceuticals","pharmaceuticals-course","False","3","TINY(3) + NO-VIDEO"
"pig-farming","pig-farming-lessons","False","13900","NO-VIDEO"
"pig-farming","pig-farming-module-10","False","48243","PLACEHOLDER"
"pig-farming","pig-farming-module-12","False","47535","PLACEHOLDER"
"potato-farming","potato-farming-course","False","49114","NO-VIDEO"
"potato-farming","potato-farming-module-1","False","6546","NO-VIDEO"
"potato-farming","potato-farming-module-2","False","7217","NO-VIDEO"
"potato-farming","potato-farming-module-3","False","7197","NO-VIDEO"
"potato-farming","potato-farming-module-4","False","6874","NO-VIDEO"
"potato-farming","potato-farming-module-5","False","7585","NO-VIDEO"
"project-management","project-management-course","False","14809","NO-VIDEO"
"rabbit-farming","rabbit-farming-course","False","16131","NO-VIDEO"
"sheep-farming","sheep-farming-course","False","3","TINY(3) + NO-VIDEO"
"soap-making","soap-making-course","False","15360","NO-VIDEO"
"soap-making","soap-making-lessons","False","3508","NO-VIDEO"
"soap-making","soap-making-module-1","False","8402","NO-VIDEO"
"soap-making","soap-making-module-2","False","8691","NO-VIDEO"
"soap-making","soap-making-module-3","False","8509","NO-VIDEO"
"soap-making","soap-making-module-4","False","8567","NO-VIDEO"
"soap-making","soap-making-module-5","False","9261","NO-VIDEO"
"steer-fattening","steer-fattening-course","False","34120","NO-VIDEO"
"steer-fattening","steer-fattening-lessons","False","15336","NO-VIDEO"
"steer-fattening","steer-fattening-module-1","False","52462","PLACEHOLDER"
"steer-fattening","steer-fattening-module-10","False","53090","PLACEHOLDER"
"steer-fattening","steer-fattening-module-4","False","54383","PLACEHOLDER"
"steer-fattening","steer-fattening-module-5","False","54466","PLACEHOLDER"
"steer-fattening","steer-fattening-module-8","False","49835","PLACEHOLDER"
"tropical-fruit-farming","tropical-fruit-farming-course","False","3","TINY(3) + NO-VIDEO"
"tropical-fruit-farming","tropical-fruit-farming-module-1","False","7372","NO-VIDEO"
"tropical-fruit-farming","tropical-fruit-farming-module-2","False","8466","NO-VIDEO"
"tropical-fruit-farming","tropical-fruit-farming-module-3","False","9229","NO-VIDEO"
"tropical-fruit-farming","tropical-fruit-farming-module-4","False","9748","NO-VIDEO"
"tropical-fruit-farming","tropical-fruit-farming-module-5","False","9441","NO-VIDEO"
"tropical-fruit-farming","tropical-fruit-farming-module-6","False","9519","NO-VIDEO"
"turkey-farming","turkey-farming-course","False","8687","NO-VIDEO"
"turkey-farming","turkey-farming-module-1","False","6477","NO-VIDEO"
"turkey-farming","turkey-farming-module-2","False","6477","NO-VIDEO"
"turkey-farming","turkey-farming-module-3","False","6477","NO-VIDEO"
"turkey-farming","turkey-farming-module-4","False","6477","NO-VIDEO"
"turkey-farming","turkey-farming-module-5","False","6477","NO-VIDEO"
"yogurt-production","yogurt-production-course","False","3","TINY(3) + NO-VIDEO"
"arabic-language","arabic-language-course","True","15146","NO-VIDEO"
"arabic-language","arabic-language-module-1","True","23385","FARMING CONTENT"
"arabic-language","arabic-language-module-2","True","17588","FARMING CONTENT"
"arabic-language","arabic-language-module-3","True","17536","FARMING CONTENT"
"arabic-language","arabic-language-module-4","True","17473","FARMING CONTENT"
"arabic-language","arabic-language-module-5","True","17525","FARMING CONTENT"
"arabic-language","arabic-language-module-6","True","17546","FARMING CONTENT"
"russian-language","russian-language-course","True","15589","NO-VIDEO"
"russian-language","russian-language-module-1","True","23180","FARMING CONTENT"
"russian-language","russian-language-module-2","True","22324","FARMING CONTENT"
"russian-language","russian-language-module-3","True","19852","FARMING CONTENT"
"russian-language","russian-language-module-4","True","19883","FARMING CONTENT"
"russian-language","russian-language-module-5","True","19730","FARMING CONTENT"
"swahili-language","swahili-language-course","True","15258","NO-VIDEO"
"swahili-language","swahili-language-module-1","True","23689","FARMING CONTENT + PLACEHOLDER"
"swahili-language","swahili-language-module-2","True","23645","FARMING CONTENT"
"swahili-language","swahili-language-module-3","True","23651","FARMING CONTENT"
"swahili-language","swahili-language-module-4","True","23809","FARMING CONTENT"
"swahili-language","swahili-language-module-5","True","23774","FARMING CONTENT"
"swahili-language","swahili-language-module-6","True","23691","FARMING CONTENT + PLACEHOLDER"
"farm-building-construction","farm-building-construction-module-1","False","30366","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-11","False","38135","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-12","False","32909","PLACEHOLDER + NO-VIDEO"
"farm-building-construction","farm-building-construction-module-2","False","32130","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-3","False","33606","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-4","False","33776","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-6","False","35003","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-7","False","32802","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-8","False","34409","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-9","False","35011","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-1","False","37710","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-2","False","34731","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-10","False","35535","NO-VIDEO"
"farm-building-construction","farm-building-construction-module-5","False","37739","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-3","False","30132","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-4","False","17222","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-5","False","28414","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-6","False","26729","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-7","False","25726","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-8","False","22962","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-9","False","22835","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-10","False","24821","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-11","False","27589","NO-VIDEO"
"welding-fundamentals","welding-fundamentals-module-12","False","31796","NO-VIDEO"
"jam-making","jam-making-module-7","False","25008","NO-VIDEO"
"jam-making","jam-making-module-8","False","27747","NO-VIDEO"
"jam-making","jam-making-module-10","False","28433","NO-VIDEO"
"jam-making","jam-making-module-12","False","28655","PLACEHOLDER + NO-VIDEO"
